"stock_code","year","month","orders","revenue","aov","customers","revenue_lag1","revenue_lag2","revenue_lag3","rolling_3m_avg","rolling_6m_avg","month_count"
"10080",2011,6,1,18.72,18.7200000000000000,1,1.70,NULL,NULL,10.2100000000000000,10.2100000000000000,7
"10080",2011,7,2,9.36,4.6800000000000000,2,18.72,1.70,NULL,9.9266666666666667,9.9266666666666667,7
"10080",2011,8,4,23.40,5.8500000000000000,4,9.36,18.72,1.70,17.1600000000000000,13.2950000000000000,7
"10080",2011,9,4,23.40,5.8500000000000000,4,23.40,9.36,18.72,18.7200000000000000,15.3160000000000000,7
"10080",2011,10,3,2.34,0.78000000000000000000,3,23.40,23.40,9.36,16.3800000000000000,13.1533333333333333,7
"10080",2011,11,6,35.49,5.9150000000000000,6,2.34,23.40,23.40,20.4100000000000000,18.7850000000000000,7
"10120",2011,2,1,6.30,6.3000000000000000,1,3.36,NULL,NULL,4.8300000000000000,4.8300000000000000,10
"10120",2011,3,4,6.09,1.5225000000000000,4,6.30,3.36,NULL,5.2500000000000000,5.2500000000000000,10
"10120",2011,5,2,0.63,0.31500000000000000000,2,6.09,6.30,3.36,4.3400000000000000,4.0950000000000000,10
"10120",2011,7,1,1.05,1.05000000000000000000,1,0.63,6.09,6.30,2.5900000000000000,3.4860000000000000,10
"10120",2011,8,2,7.35,3.6750000000000000,2,1.05,0.63,6.09,3.0100000000000000,4.1300000000000000,10
"10120",2011,9,4,2.10,0.52500000000000000000,4,7.35,1.05,0.63,3.5000000000000000,3.9200000000000000,10
"10120",2011,10,2,2.10,1.05000000000000000000,2,2.10,7.35,1.05,3.8500000000000000,3.2200000000000000,10
"10120",2011,11,8,10.29,1.2862500000000000,8,2.10,2.10,7.35,4.8300000000000000,3.9200000000000000,10
"10120",2011,12,1,1.26,1.26000000000000000000,1,10.29,2.10,2.10,4.5500000000000000,4.0250000000000000,10
"10125",2011,1,7,67.20,9.6000000000000000,7,78.55,NULL,NULL,72.8750000000000000,72.8750000000000000,12
"10125",2011,3,9,95.20,10.5777777777777778,9,67.20,78.55,NULL,80.3166666666666667,80.3166666666666667,12
"10125",2011,4,6,69.70,11.6166666666666667,6,95.20,67.20,78.55,77.3666666666666667,77.6625000000000000,12
"10125",2011,5,6,90.95,15.1583333333333333,6,69.70,95.20,67.20,85.2833333333333333,80.3200000000000000,12
"10125",2011,6,2,11.05,5.5250000000000000,2,90.95,69.70,95.20,57.2333333333333333,68.7750000000000000,12
"10125",2011,7,8,149.60,18.7000000000000000,8,11.05,90.95,69.70,83.8666666666666667,80.6166666666666667,12
"10125",2011,8,4,72.25,18.0625000000000000,4,149.60,11.05,90.95,77.6333333333333333,81.4583333333333333,12
"10125",2011,9,4,178.50,44.6250000000000000,4,72.25,149.60,11.05,133.4500000000000000,95.3416666666666667,12
